Reviewer,Review,Review_en,SeparatedSentences,ReviewDate
艾小柯,比较标准的chick flick，三观正、有幽默、有名角，最关键有美梦成真have it all. 无论如何，chick flick从爱情美满发展到不为家庭牺牲事业，这是巨大的社会进步！,"More standard chicken flick, three views, humor, famous characters, the most important thing is to have it all. In any case, the development of chuck flick from love to not sacrificing career for family is a huge social progress!","In any case, the development of chuck flick from love to not sacrificing career for family is a huge social progress!",2016-01-04 22:16:58
胡铁花子,罗伯特德尼罗好像飞屋环游记里面的爷爷！,Robert De Niro is like Grandpa in Flying House!,Robert De Niro is like Grandpa in Flying House!,2021-01-14 17:00:15
杨欢喜Metiche,电影的新颖在于正视与平衡。70岁的人正视自己与社会的现状，不倚老卖老，不强调过去，只是默默地凭借自己的经验帮助每一个年轻人也继续实现自己的价值。30岁的人逐渐学会平衡生活的所有事情，不逃避婚姻中的问题，也不要刻意遏制内心的渴望。这两件事都很难。但永远不放弃学习的热情和开始的勇气。,"The novelty of the film lies in balance and balance.Seventy-year-olds face up to their own social status quo, do not rely on the old to sell the old, do not emphasize the past, but silently rely on their own experience to help each young person continue to achieve their own value.30-year-olds gradually learn to balance everything in life, not to run away from problems in marriage, and not to deliberately curb their inner desires.Both things are difficult.But never give up the enthusiasm to learn and the courage to start.","The novelty of the film lies in balance and balance.Seventy-year-olds face up to their own social status quo, do not rely on the old to sell the old, do not emphasize the past, but silently rely on their own experience to help each young person continue to achieve their own value.30-year-olds gradually learn to balance everything in life, not to run away from problems in marriage, and not to deliberately curb their inner desires.Both things are difficult.But never give up the enthusiasm to learn and the courage to start.",2015-12-21 2:26:00
非魚,Old School不是单纯的复古、不是一味的守旧、更不是什么嘻哈用语，它只是一部分人对美好事物有所坚持、对传统习惯与观念的留恋吧,"Old School is not just retro, not old-fashioned, not hip-hop, it is just a part of people who insist on good things, traditional habits and ideas.","Old School is not just retro, not old-fashioned, not hip-hop, it is just a part of people who insist on good things, traditional habits and ideas.",2017-10-11 15:50:21
私享史,在纽约飞往旧金山的飞机上看了这部剧情包含从纽约飞往旧金山的电影，布鲁克林大桥和金门大桥联袂出演！,"Watched the episode on a plane from New York to San Francisco, featuring Brooklyn Bridge and Golden Gate Bridge!","Watched the episode on a plane from New York to San Francisco, featuring Brooklyn Bridge and Golden Gate Bridge!",2016-03-24 16:05:34
Danny,基本靠德尼罗撑场子，海瑟薇拿奖后，近年来有让人再印象深刻的角色么？好像没有。最多也就是职场妹婚后放大招的版本。轻车熟路，美国白百合。当然老中配，还是趣味多多。,"Basically relying on De Niro to support the field, Hathaway won the award, in recent years there is another impressive role?It doesn't seem to be. At most, it's the version of the post-marriage magnification.Light truck, white lilies of the United States.Of course, it's a lot of fun or something.","Basically relying on De Niro to support the field, Hathaway won the award, in recent years there is another impressive role?It doesn't seem to be.",2015-10-09 17:11:05
Danny,基本靠德尼罗撑场子，海瑟薇拿奖后，近年来有让人再印象深刻的角色么？好像没有。最多也就是职场妹婚后放大招的版本。轻车熟路，美国白百合。当然老中配，还是趣味多多。,"Basically relying on De Niro to support the field, Hathaway won the award, in recent years there is another impressive role?It doesn't seem to be. At most, it's the version of the post-marriage magnification.Light truck, white lilies of the United States.Of course, it's a lot of fun or something.","At most, it's the version of the post-marriage magnification.Light truck, white lilies of the United States.Of course, it's a lot of fun or something.",2015-10-09 17:11:05
大奇特(Grinch),你不要学劳勃.狄尼洛，装酷站在巷子口那里等我！,"Don't learn from Robert.Dinillo, stand at the entrance of the alley and wait for me!","Don't learn from Robert.Dinillo, stand at the entrance of the alley and wait for me!",2015-12-20 23:39:12
CharlesChou,"A cheesy yet comforting enjoyment. Robert DeNiro just played a perfect silver daddy in every women and men's dream, no kidding.( I put women before men hope y'all see what I suggest here","A cheesy yet comforting enjoyment。 Robert DeNiro just played a perfect silver daddy in every women and men's dream, no kidding。( I put women before men hope y'all see what I suggest here","A cheesy yet comforting enjoyment。 Robert DeNiro just played a perfect silver daddy in every women and men's dream, no kidding。( I put women before men hope y'all see what I suggest here",2015-12-15 0:46:08
Lycidas,Nancy Meyers几年没拍片还是变不出什么新花样，真是几十年如一日专注老年人社交关系鸡汤，老路数还是颇动人，加上与时俱进的start-up/female entrepreneur设定比前作有趣多了，但剧情走向和人物性格实在太理想化了，真怀疑她是不是活在网络文学里。,"Nancy Meyers hasn't made a movie in years, and she's been focusing on old people's social relationships for decades, and her up-to-date start-up/female entrepreneurial setting is much more interesting than before.","Nancy Meyers hasn't made a movie in years, and she's been focusing on old people's social relationships for decades, and her up-to-date start-up/female entrepreneurial setting is much more interesting than before.",2015-12-14 15:15:27
海洋之 婧,温情洋溢的一部喜剧，摩登范服饰把安妮衬得简直不能更美，她与德尼罗的表演是最大看点。故事对时尚涉足不多，相比《穿普拉达的女王》差些火候。,"A warm-hearted comedy, the modern costume of Anne can not be more beautiful, her performance with De Niro is the biggest attraction.The story is less fashionable than The Queen in Prada.","A warm-hearted comedy, the modern costume of Anne can not be more beautiful, her performance with De Niro is the biggest attraction.The story is less fashionable than The Queen in Prada.",2015-12-18 5:42:54
米姐起飞,看这个电影 我觉得我最有发言权~ 我在做着与女主一样的事 但却比她渺小一万倍!!!我们有着超相似的地方 却有着更多向她学习的地方..中间无数个情节打动我哗哗落泪..我认为我会再看一遍 就是对这部电影最好的致敬.,"Watching this movie, I feel like I have the most say, I'm doing the same thing as a woman, but I'm 10,000 times smaller than her!We have super-similarities, but we have more to learn from her.There were countless scenes in between that moved me to tears.I think I'm going to watch it again. It's the best tribute to this movie.","Watching this movie, I feel like I have the most say, I'm doing the same thing as a woman, but I'm 10,000 times smaller than her!We have super-similarities, but we have more to learn from her.There were countless scenes in between that moved me to tears.I think I'm going to watch it again.",2016-01-01 0:30:34
米姐起飞,看这个电影 我觉得我最有发言权~ 我在做着与女主一样的事 但却比她渺小一万倍!!!我们有着超相似的地方 却有着更多向她学习的地方..中间无数个情节打动我哗哗落泪..我认为我会再看一遍 就是对这部电影最好的致敬.,"Watching this movie, I feel like I have the most say, I'm doing the same thing as a woman, but I'm 10,000 times smaller than her!We have super-similarities, but we have more to learn from her.There were countless scenes in between that moved me to tears.I think I'm going to watch it again. It's the best tribute to this movie.",It's the best tribute to this movie.,2016-01-01 0:30:34
白影,早上5点起来，看了这部我一直非常想看的电影。天哪，一个美好一天的开始。,"I woke up at 5 a.m. and watched this movie I've always wanted to see.Oh my God, the beginning of a great day.","I woke up at 5 a.m. and watched this movie I've always wanted to see.Oh my God, the beginning of a great day.",2016-04-08 7:25:02
牛腩羊耳朵,3 看这种“职场女性”电影就像翻女性时尚杂志一样，翻翻图片教你怎么穿衣服，读读专栏喝点女性主义的心灵鸡汤。生活对她们来说太容易了，打打太极拳就可以平衡了。不过选角上还是很赞。Stay classic.,"Watching this ""women in the workplace"" movie is like flipping through women's fashion magazines, flipping through pictures to teach you how to dress, read columns and drink feminist chicken soup.Life is too easy for them, playing Taijiquan can be balanced.But the casting is still good.Stay classic。","Watching this ""women in the workplace"" movie is like flipping through women's fashion magazines, flipping through pictures to teach you how to dress, read columns and drink feminist chicken soup.Life is too easy for them, playing Taijiquan can be balanced.But the casting is still good.Stay classic。",2015-10-10 2:54:21
城南草木生,太无聊了，一个拍恋爱假期的导演拍什么职场故事，整个故事都努力在一个平淡如水的生活里搞大惊小怪，好平庸。,"Too boring, a director shooting a love vacation shooting what workplace story, the whole story is trying to make a fuss in a flat life, so mediocre.","Too boring, a director shooting a love vacation shooting what workplace story, the whole story is trying to make a fuss in a flat life, so mediocre.",2016-01-06 1:10:12
司令,穿得真好看！,You look great in it!,You look great in it!,2015-10-08 23:29:57
伊卡洛斯,像老头那样的去绅士，像女神那样去热情,"Go gentleman like an old man, go passionate like a goddess.","Go gentleman like an old man, go passionate like a goddess.",2016-01-17 9:40:18
齊克斯尼力佐飛,结尾扣130颗星！,130 stars at the end!,130 stars at the end!,2016-03-22 20:57:27
不良生,都市版老人与少女，无论什么年龄群，人与人之间永远需要取悦，才能磨合。,"The urban version of the elderly and young girls, no matter what age group, people always need to please each other in order to run into each other.","The urban version of the elderly and young girls, no matter what age group, people always need to please each other in order to run into each other.",2015-12-20 20:25:43
李濛Lemon,简单舒服，在深度上欠缺了点，但在温情上补了回来。罗伯特简直帅炸；海瑟薇真漂亮，表情动作拿捏得很到位，当年给女魔头做助理的小女孩儿，如今摇身一变也成了女强人。P.S.这片子简直是教科书级的穿搭教程啊，海瑟薇的轻熟女OL风，罗伯特的复古正装范儿，每一套都赏心悦目。,"Simple and comfortable, lacking in depth, but making up for it in warmth.Robert was simply handsome; Hathaway was so pretty, her expression was so tight that the little girl who had been an assistant to the demon-headed woman became a strongwoman.P. S. This movie is a textbook-level dressing tutorial, Hathaway's light mature girl OL style, Robert's retro suit style, every set is pleasing to the eye.","Simple and comfortable, lacking in depth, but making up for it in warmth.Robert was simply handsome; Hathaway was so pretty, her expression was so tight that the little girl who had been an assistant to the demon-headed woman became a strongwoman.P.",2016-02-24 21:43:53
李濛Lemon,简单舒服，在深度上欠缺了点，但在温情上补了回来。罗伯特简直帅炸；海瑟薇真漂亮，表情动作拿捏得很到位，当年给女魔头做助理的小女孩儿，如今摇身一变也成了女强人。P.S.这片子简直是教科书级的穿搭教程啊，海瑟薇的轻熟女OL风，罗伯特的复古正装范儿，每一套都赏心悦目。,"Simple and comfortable, lacking in depth, but making up for it in warmth.Robert was simply handsome; Hathaway was so pretty, her expression was so tight that the little girl who had been an assistant to the demon-headed woman became a strongwoman.P. S. This movie is a textbook-level dressing tutorial, Hathaway's light mature girl OL style, Robert's retro suit style, every set is pleasing to the eye.","S. This movie is a textbook-level dressing tutorial, Hathaway's light mature girl OL style, Robert's retro suit style, every set is pleasing to the eye.",2016-02-24 21:43:53
fefe,所以女强人的幸福婚姻是无解的……尤其遇到水象星座渣男,So the happy marriage of a strong woman is unsolvable…...especially with the Water sign Scumman.,So the happy marriage of a strong woman is unsolvable…...especially with the Water sign Scumman.,2016-02-19 23:07:23
彌張,挽回出轨老公的方式很好，可惜没几个男人有这觉悟,"It's a good way to get rid of cheating husbands, but unfortunately not many men have this kind of awareness.","It's a good way to get rid of cheating husbands, but unfortunately not many men have this kind of awareness.",2015-12-26 0:39:07
草莓公主,觉得应该在圣诞节档期上映。。买一杯暖暖的姜味咖啡。。看一本轻松快乐的都市电影。。Robert De Niro所有的grandpa电影我都看了。。脑残粉呗。。很喜欢纽约喜剧电影那种温暖明亮的画面。。毫无负担的情节。。温暖励志幽默而又完成度颇高。。也喜欢Anna在电影中的衣着打扮。。美东职业女性的典范,"I think it should be shown on Christmas Day.Buy a warm ginger coffee.I've seen all of Robert De Niro's grandpa movies.It's brain powder.I love the warm and bright images of New York comedy movies.. Unburdened circumstances.. Warm, inspiring and humorous with a high degree of completion.I also like Anna's dress in the movie..Exemplary of working women in the Eastern United States",I think it should be shown on Christmas Day.Buy a warm ginger coffee.I've seen all of Robert De Niro's grandpa movies.It's brain powder.I love the warm and bright images of New York comedy movies.. Unburdened circumstances..,2017-08-05 17:30:38
草莓公主,觉得应该在圣诞节档期上映。。买一杯暖暖的姜味咖啡。。看一本轻松快乐的都市电影。。Robert De Niro所有的grandpa电影我都看了。。脑残粉呗。。很喜欢纽约喜剧电影那种温暖明亮的画面。。毫无负担的情节。。温暖励志幽默而又完成度颇高。。也喜欢Anna在电影中的衣着打扮。。美东职业女性的典范,"I think it should be shown on Christmas Day.Buy a warm ginger coffee.I've seen all of Robert De Niro's grandpa movies.It's brain powder.I love the warm and bright images of New York comedy movies.. Unburdened circumstances.. Warm, inspiring and humorous with a high degree of completion.I also like Anna's dress in the movie..Exemplary of working women in the Eastern United States","Warm, inspiring and humorous with a high degree of completion.I also like Anna's dress in the movie..Exemplary of working women in the Eastern United States",2017-08-05 17:30:38
蜉蝣,穿衣和室内设计指南。前半段比较有趣，关系融洽后渐显老套，尤其丈夫角色的加入，让整个片子差点沦为烂片的标准化。,"Clothing and interior design guidelines.The first half is more interesting, and after the relationship is harmonious, the stereotype gradually appears, especially the addition of the husband character, so that the entire film almost degenerates into a standardized bad film.","Clothing and interior design guidelines.The first half is more interesting, and after the relationship is harmonious, the stereotype gradually appears, especially the addition of the husband character, so that the entire film almost degenerates into a standardized bad film.",2015-12-22 16:15:49
国王KING,我以为实习生是指罗伯特呢……安妮·海瑟薇气场太弱了，这种女强人的角色根本hold不住啊。,I thought the intern meant Robert...Anne Hathaway is too weak to hold such a strongwoman.,I thought the intern meant Robert...Anne Hathaway is too weak to hold such a strongwoman.,2016-09-11 20:13:29
redhousepainter,满满的一碗鸡汤，我还以为罗伯特德尼罗和海瑟薇要滚床单。。。。。,"A bowl full of chicken soup, I thought Robert De Niro and Hathaway were going to roll the sheets.。。。。","A bowl full of chicken soup, I thought Robert De Niro and Hathaway were going to roll the sheets.。。。。",2016-01-08 21:03:32
潘驴邓小仁波切,教科书式的chick film。讲真，海瑟薇，演一个feminist figure，全场都在被一个daddy呵护教导，这样真的好吗？,"The textbook chicken film.Seriously, Hathaway, playing a feminist figure, the whole place is being taught by a daddy, is that really okay?","The textbook chicken film.Seriously, Hathaway, playing a feminist figure, the whole place is being taught by a daddy, is that really okay?",2015-09-25 13:23:09
张小北,3星半吧，我完全是为了罗伯特·德尼罗才看的这部电影……这种美式女性温情励志片真不是我的菜……,"Three and a half stars, I watched this movie for Robert De Niro.This kind of American feminine inspirational film isn't really my thing.…","Three and a half stars, I watched this movie for Robert De Niro.This kind of American feminine inspirational film isn't really my thing.…",2015-12-23 20:09:23
爱幻想的小孩,挺暖的童话风。2个小时也不觉得长。背景音乐一直是相似的调子，有点单一。安公主演老板却也是助理的感觉，醉了。女权有点表面化。教父萌萌哒,"Very warm fairy tale wind.Two hours doesn't feel long.The background music has always been in a similar tone, a little monotonous.Princess Ann plays the boss is also an assistant feeling, drunk.Women's rights are a bit superficial.The Godfather is cute.","Very warm fairy tale wind.Two hours doesn't feel long.The background music has always been in a similar tone, a little monotonous.Princess Ann plays the boss is also an assistant feeling, drunk.Women's rights are a bit superficial.The Godfather is cute.",2015-09-21 22:05:18
饥饿艺术家,这几年我有过很多困惑的时刻，有几次很自然地想到了我爸，后来我发现他只是一心想让我回老家当公务员。电影是电影，现实是现实。这一类带有“女权”色彩让女人有充分意淫空间的题材，从 BJ 开始就没过时了的确。 就算你找到那个终极暖男了，最后不还是要靠自己？！,"I've had a lot of confusing moments over the years, and a few times I naturally thought of my dad, and then I found out that he just wanted me to go back to my hometown and work as a civil servant.Movies are movies, reality is reality.This kind of ""feminine"" color allows women to have sufficient lewd space of the subject matter, from the beginning of BJ has not gone out of fashion indeed. Even if you find the ultimate handsome guy, don't you end up on your own?！","I've had a lot of confusing moments over the years, and a few times I naturally thought of my dad, and then I found out that he just wanted me to go back to my hometown and work as a civil servant.Movies are movies, reality is reality.This kind of ""feminine"" color allows women to have sufficient lewd space of the subject matter, from the beginning of BJ has not gone out of fashion indeed.",2015-12-23 0:53:52
饥饿艺术家,这几年我有过很多困惑的时刻，有几次很自然地想到了我爸，后来我发现他只是一心想让我回老家当公务员。电影是电影，现实是现实。这一类带有“女权”色彩让女人有充分意淫空间的题材，从 BJ 开始就没过时了的确。 就算你找到那个终极暖男了，最后不还是要靠自己？！,"I've had a lot of confusing moments over the years, and a few times I naturally thought of my dad, and then I found out that he just wanted me to go back to my hometown and work as a civil servant.Movies are movies, reality is reality.This kind of ""feminine"" color allows women to have sufficient lewd space of the subject matter, from the beginning of BJ has not gone out of fashion indeed. Even if you find the ultimate handsome guy, don't you end up on your own?！","Even if you find the ultimate handsome guy, don't you end up on your own?！",2015-12-23 0:53:52
小斑,政治正确，选材有趣，卡司强劲。但全片都透着一股子尴尬无力感。除了主线戏剧张力弱，老头儿性格无聊，叙事散漫，主角没有化学反应，还有Holm演得瞎烂这些因素之外，他们住的房子用的办公室都特么太像样板房/旅馆了。看着就没人味儿。安妮又开时装秀，然而衣服搭配也不是太出彩。,"Politically correct, interesting material selection, strong Cas.But the whole movie is full of embarrassment and helplessness.Apart from the weak tension in the mainline drama, the old man's boring personality, the loose narrative, the protagonist's lack of chemistry, and the fact that Holm is blind, the office they live in is too much like a model house/hotel.It's no use looking at it.Annie started the fashion show again, but the clothes didn't match too well.","Politically correct, interesting material selection, strong Cas.But the whole movie is full of embarrassment and helplessness.Apart from the weak tension in the mainline drama, the old man's boring personality, the loose narrative, the protagonist's lack of chemistry, and the fact that Holm is blind, the office they live in is too much like a model house/hotel.It's no use looking at it.Annie started the fashion show again, but the clothes didn't match too well.",2015-10-30 5:49:07
陈裸,有点过于美好，但这份鸡汤我干了,"It's a little too good, but I'm done with this chicken soup.","It's a little too good, but I'm done with this chicken soup.",2016-01-05 21:29:38
ᠴᠣᠭᠲᠤ🔒,这么多年了，着装从M65变成了高档西装，走路的姿势却一点儿没变！,"Over the years, the dress has changed from M65 to a high-end suit, but the walking posture has not changed at all!","Over the years, the dress has changed from M65 to a high-end suit, but the walking posture has not changed at all!",2016-02-02 9:29:29
高歌,喝鸡汤，我就认准罗伯特德尼罗和安妮海瑟薇的牌子。,Drink chicken soup and I'll identify Robert De Niro and Anne Hathaway brands.,Drink chicken soup and I'll identify Robert De Niro and Anne Hathaway brands.,2016-11-05 18:49:04
Amberose,轻松不费脑的喜剧，德尼罗爷爷超萌，海瑟薇也是美得闪闪发光，看完之后整个人都觉得很开心。,"Easy and effortless comedy, De Niro grandfather super cute, Hathaway is also beautiful glittering, after watching the whole person feel very happy.","Easy and effortless comedy, De Niro grandfather super cute, Hathaway is also beautiful glittering, after watching the whole person feel very happy.",2015-10-15 16:57:20
少数豪,啊哈哈哈哈哈，本告诉朱尔斯打太极时注意“inner peace”的桥段是致敬功夫熊猫吗？,"Ahahahahahahahahaha, Ben told Jules to pay attention to the ""inner peace"" bridge when playing Taiji is a tribute to the Kung Fu Panda?","Ahahahahahahahahaha, Ben told Jules to pay attention to the ""inner peace"" bridge when playing Taiji is a tribute to the Kung Fu Panda?",2015-12-22 17:09:57
抓住沙丁鱼,本来想四星 真的是一部很标准的好莱坞类型片 但是 结局海瑟薇和渣男和好扣一分,"I wanted four stars. It was a standard Hollywood movie, but it ended with Hathaway and Scumboy taking a point off.",I wanted four stars.,2021-05-21 19:49:42
抓住沙丁鱼,本来想四星 真的是一部很标准的好莱坞类型片 但是 结局海瑟薇和渣男和好扣一分,"I wanted four stars. It was a standard Hollywood movie, but it ended with Hathaway and Scumboy taking a point off.","It was a standard Hollywood movie, but it ended with Hathaway and Scumboy taking a point off.",2021-05-21 19:49:42
DuoDuo🐿️,柯里昂的晚年生活😂,Late life in Corleone 😂,Late life in Corleone 😂,2019-02-18 13:11:21
托尼·王大拿,内容看似很符合潮流，实际上这是那种基本与时代脱节的电影，而且编剧在制造冲突这一点上完全失败；整个片子纯粹就是一锅热糖水，而且还是锅底留了一层厚厚糖渣腻得不行的热糖水。,"The content seems to be in line with the trend, but it's actually one of those movies that's basically out of touch with the times, and the screenwriter's total failure to create a conflict; it's just a hot pot of sugar water.","The content seems to be in line with the trend, but it's actually one of those movies that's basically out of touch with the times, and the screenwriter's total failure to create a conflict; it's just a hot pot of sugar water.",2016-01-08 4:33:29
翠蝶🌸羽生✨💫,珍惜现在拥有的就是幸福，因为现在拥有的不知道什么时候会失去。做自己喜欢的事，坚持最初的自己，用一颗宽容的心对待生活！,"It is happiness to cherish what you have now, because what you have now does not know when you will lose it.Do what you like, stick to your original self, and treat life with a tolerant heart!","It is happiness to cherish what you have now, because what you have now does not know when you will lose it.Do what you like, stick to your original self, and treat life with a tolerant heart!",2018-04-19 15:10:11
